Donor,Acceptor,Donor Smiles,Acceptor Smiles,Donor_can_smiles,Acceptor_can_smiles,PCE
FTAZ,INIC,FC(C(F)=C(C1=CC=C(C)S1)C2=NN(CC(CCCCCC)CCCC)N=C32)=C3C(S4)=CC=C4C5=CC6=C(CCC(CCCCCC)CCCC)C7=C(C=C(C)S7)C(CCC(CCCC)CCCCCC)=C6S5,O=C1C2=C(C=CC=C2)C(/C1=C/C(S3)=CC4=C3C(S5)=C(S4)C6=C5C7=CC(C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C%11SC%12=C%10SC%13=C%12SC(/C=C%14/C(C(C=CC=C%15)=C%15C%14=O)=C(C#N)\C#N)=C%13)=C%11C=C7C6(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)=C(C#N)/C#N,CCCCCCC(CCc1c2cc(sc2c(c2c1sc(c2)C)CCC(CCCCCC)CCCC)c1ccc(s1)c1c(F)c(F)c(c2c1nn(n2)CC(CCCCCC)CCCC)c1ccc(s1)C)CCCC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc3c(c1s2)sc(c3)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc1c5sc(c1)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2,7.7
FTAZ,INIC1,FC(C(F)=C(C1=CC=C(C)S1)C2=NN(CC(CCCCCC)CCCC)N=C32)=C3C(S4)=CC=C4C5=CC6=C(CCC(CCCCCC)CCCC)C7=C(C=C(C)S7)C(CCC(CCCC)CCCCCC)=C6S5,O=C1C2=C(C(F)=CC=C2)C(/C1=C/C(S3)=CC4=C3C(S5)=C(S4)C6=C5C7=CC(C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C%11SC%12=C%10SC%13=C%12SC(/C=C%14/C(C(C(F)=CC=C%15)=C%15C%14=O)=C(C#N)\C#N)=C%13)=C%11C=C7C6(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)=C(C#N)/C#N,CCCCCCC(CCc1c2cc(sc2c(c2c1sc(c2)C)CCC(CCCCCC)CCCC)c1ccc(s1)c1c(F)c(F)c(c2c1nn(n2)CC(CCCCCC)CCCC)c1ccc(s1)C)CCCC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc3c(c1s2)sc(c3)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)c(F)ccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc1c5sc(c1)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)c(F)ccc2,10.1
FTAZ,INIC2,FC(C(F)=C(C1=CC=C(C)S1)C2=NN(CC(CCCCCC)CCCC)N=C32)=C3C(S4)=CC=C4C5=CC6=C(CCC(CCCCCC)CCCC)C7=C(C=C(C)S7)C(CCC(CCCC)CCCCCC)=C6S5,O=C1C2=C(C=CC=C2)C(/C1=C/C(S3)=CC4=C3C(S5)=C(S4)C6=C5C7=CC(C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C%11SC%12=C%10SC%13=C%12SC(/C=C%14/C(C(C=CC=C%15)=C%15C%14=O)=C(C#N)\C#N)=C%13)=C%11C=C7C6(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)=C(C#N)/C#N.CF.FC,CCCCCCC(CCc1c2cc(sc2c(c2c1sc(c2)C)CCC(CCCCCC)CCCC)c1ccc(s1)c1c(F)c(F)c(c2c1nn(n2)CC(CCCCCC)CCCC)c1ccc(s1)C)CCCC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc3c(c1s2)sc(c3)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc1c5sc(c1)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2.FC.FC,10.8
FTAZ,INIC3,FC(C(F)=C(C1=CC=C(C)S1)C2=NN(CC(CCCCCC)CCCC)N=C32)=C3C(S4)=CC=C4C5=CC6=C(CCC(CCCCCC)CCCC)C7=C(C=C(C)S7)C(CCC(CCCC)CCCCCC)=C6S5,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C(S3)=CC4=C3C(S5)=C(S4)C6=C5C7=CC(C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C%11SC%12=C%10SC%13=C%12SC(/C=C%14/C(C(C=C(F)C(F)=C%15)=C%15C%14=O)=C(C#N)\C#N)=C%13)=C%11C=C7C6(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)=C(C#N)/C#N,CCCCCCC(CCc1c2cc(sc2c(c2c1sc(c2)C)CCC(CCCCCC)CCCC)c1ccc(s1)c1c(F)c(F)c(c2c1nn(n2)CC(CCCCCC)CCCC)c1ccc(s1)C)CCCC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc3c(c1s2)sc(c3)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc1c5sc(c1)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F,11.5
PBDB-T,IEIC,CC1=CC=C(C2=C(C(C3=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C3C4=O)=O)C4=C(S2)C(S5)=CC=C5C6=CC7=C(S6)C(C8=CC=C(CC(CC)CCCC)S8)=C9C(SC(C)=C9)=C7C%10=CC=C(CC(CC)CCCC)S%10)S1,O=C1C2=C(C=CC=C2)C(/C1=C/C3=C(CC(CCCC)CC)C(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC(CCCCCC)=CC=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=CC=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11CC(CCCC)CC)=C%10C=C6C5(C%14=CC(CCCCCC)=CC=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)C)c1ccc(s1)CC(CCCC)CC)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1ccc(s1)C)CC,CCCCCCc1cccc(c1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(c(c1s2)CC(CCCC)CC)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1cccc(c1)CCCCCC)sc(c5CC(CCCC)CC)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2,7.3
PBDB-TF,IE-4F,FC1=C(CC(CC)CCCC)SC(C2=C(SC(C)=C3)C3=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5)=C1,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=C(CC(CCCC)CC)C(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC(CCCCCC)=CC=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=C(F)C(F)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11CC(CCCC)CC)=C%10C=C6C5(C%14=CC(CCCCCC)=CC=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(Cc1sc(c2c1C(=O)c1c(sc(c1C2=O)c1ccc(s1)C)c1ccc(s1)c1sc2c(c1)c(c1cc(c(s1)CC(CCCC)CC)F)c1c(c2c2cc(c(s2)CC(CCCC)CC)F)cc(s1)C)CC(CCCC)CC)CC,CCCCCCc1cccc(c1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(c(c1s2)CC(CCCC)CC)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1cccc(c1)CCCCCC)sc(c5CC(CCCC)CC)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F,9.3
PBDB-T,IE-4F,CC1=CC=C(C2=C(C(C3=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C3C4=O)=O)C4=C(S2)C(S5)=CC=C5C6=CC7=C(S6)C(C8=CC=C(CC(CC)CCCC)S8)=C9C(SC(C)=C9)=C7C%10=CC=C(CC(CC)CCCC)S%10)S1,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=C(CC(CCCC)CC)C(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC(CCCCCC)=CC=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=C(F)C(F)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11CC(CCCC)CC)=C%10C=C6C5(C%14=CC(CCCCCC)=CC=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)C)c1ccc(s1)CC(CCCC)CC)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1ccc(s1)C)CC,CCCCCCc1cccc(c1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(c(c1s2)CC(CCCC)CC)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1cccc(c1)CCCCCC)sc(c5CC(CCCC)CC)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F,10.8
PBDB-TF,IE-4CL,FC1=C(CC(CC)CCCC)SC(C2=C(SC(C)=C3)C3=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5)=C1,O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C3=C(CC(CCCC)CC)C(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC(CCCCCC)=CC=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=C(Cl)C(Cl)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11CC(CCCC)CC)=C%10C=C6C5(C%14=CC(CCCCCC)=CC=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(Cc1sc(c2c1C(=O)c1c(sc(c1C2=O)c1ccc(s1)C)c1ccc(s1)c1sc2c(c1)c(c1cc(c(s1)CC(CCCC)CC)F)c1c(c2c2cc(c(s2)CC(CCCC)CC)F)cc(s1)C)CC(CCCC)CC)CC,CCCCCCc1cccc(c1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(c(c1s2)CC(CCCC)CC)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)Cl)Cl)(c1ccc(cc1)CCCCCC)c1cccc(c1)CCCCCC)sc(c5CC(CCCC)CC)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)Cl)Cl,9.7
PBDB-T,IE-4CL,CC1=CC=C(C2=C(C(C3=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C3C4=O)=O)C4=C(S2)C(S5)=CC=C5C6=CC7=C(S6)C(C8=CC=C(CC(CC)CCCC)S8)=C9C(SC(C)=C9)=C7C%10=CC=C(CC(CC)CCCC)S%10)S1,O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C3=C(CC(CCCC)CC)C(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC(CCCCCC)=CC=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=C(Cl)C(Cl)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11CC(CCCC)CC)=C%10C=C6C5(C%14=CC(CCCCCC)=CC=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)C)c1ccc(s1)CC(CCCC)CC)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1ccc(s1)C)CC,CCCCCCc1cccc(c1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(c(c1s2)CC(CCCC)CC)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)Cl)Cl)(c1ccc(cc1)CCCCCC)c1cccc(c1)CCCCCC)sc(c5CC(CCCC)CC)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)Cl)Cl,11.1
PBFB-T-SF,IT-4F,CC1=CC=C(C2=C(C(C3=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C3C4=O)=O)C4=C(S2)C(S5)=CC=C5C6=CC7=C(S6)C(C8=C(F)C=C(SCC(CC)CCCC)S8)=C9C(SC(C)=C9)=C7C%10=C(F)C=C(SCC(CC)CCCC)S%10)S1,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=C(F)C(F)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(CSc1sc(c(c1)F)c1c2cc(sc2c(c2c1sc(c2)C)c1sc(cc1F)SCC(CCCC)CC)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1ccc(s1)C)CC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F,12.97
PTB7-Th,SCPDT-PDI4,O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)F)OCC(CCCC)CC,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C3C4=C(C5=C6C3=CC=C7C6=C(C(N(C(CCCCCC)CCCCCC)C7=O)=O)C=C5C(S8)=CC9=C8C%10=C(C9%11C%12=C(C%13=C%11C=C(C%14=CC%15=C%16C(C%17=CC=C%16C(N(C(CCCCCC)CCCCCC)C%15=O)=O)=C%14C%18=C%19C%17=CC=C%20C%19=C(C(N(C(CCCCCC)CCCCCC)C%20=O)=O)C=C%18)S%13)SC(C%21=CC(C(N%22C(CCCCCC)CCCCCC)=O)=C%23C(C%24=CC=C%23C%22=O)=C%21C%25=C(C%24=CC=C%26C(N(C(CCCCCC)CCCCC)C%27=O)=O)C%26=C%27C=C%25)=C%12)C=C(C%28=CC%29=C%30C(C%31=CC=C%30C(N(C(CCCCCC)CCCCCC)C%29=O)=O)=C%28C%32=C%33C%31=CC=C%34C%33=C(C(N(C(CCCCCC)CCCCCC)C%34=O)=O)C=C%32)S%10)C=CC1=C42,CCCCC(COC(=O)c1sc2c(c1F)c(sc2c1sc2c(c1)c(c1ccc(s1)CC(CCCC)CC)c1c(c2c2ccc(s2)CC(CCCC)CC)cc(s1)C)C)CC,CCCCCCC(n1c(=O)c2cc(c3sc4c(c3)C3(c5c4sc(c5)c4cc5c6c7c4c4ccc8c9c4c(c7ccc6c(=O)n(c5=O)C(CCCCCC)CCCCCC)ccc9c(=O)n(c8=O)C(CCCCCC)CCCCCC)c4cc(sc4c4c3cc(s4)c3cc4c5c6c3c3ccc7c8c3c(c6ccc5c(=O)n(c4=O)C(CCCCCC)CCCCCC)ccc8c(=O)n(c7=O)C(CCCCCC)CCCCCC)c3cc4c5c6c3c3ccc7c8c3c(c6ccc5c(=O)n(c4=O)C(CCCCCC)CCCCCC)ccc8c(=O)n(c7=O)C(CCCCCC)CCCCCC)c3c4c2c(c1=O)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)C(CCCCCC)CCCCC)CCCCCC,7.11
PffBT-T3,TPPz-PDI4,CC(S1)=CC=C1C(C2=NSN=C23)=C(F)C(F)=C3C4=CC=C(S4)C5=C(CC(CCCCCCC)CCCCCC)C=C(C6=C(CC(CCCCCC)CCCCCCCC)C=C(S6)C7=C(F)C(F)=C(C8=CC(CC(CCCCCCCC)CCCCCC)=C(C9=CC(CC(CCCCCC)CCCCCCC)=C(C)S9)S8)C%10=NSN=C7%10)S5,O=C(C1=C2C(C3=CC=C24)=C(C5=C6C3=CC=C7C6=C(C=C5C8=CC=C(C9=NC(C%10=CC=C(C%11=CC(C(N(C%12=O)C(CCCCC)CCCCC)=O)=C%13C%12=CC=C%14C%13=C%11C%15=C(C%14=CC=C%16C(N(C%17=O)C(CCCCCC)CCCCCC)=O)C%16=C%17C=C%15)C=C%10)=C(C%18=CC=C(C%19=CC(C(N(C%20=O)C(CCCCC)CCCCC)=O)=C%21C%20=CC=C%22C%21=C%19C%23=C(C%22=CC=C%24C(N(C%25=O)C(CCCCCC)CCCCCC)=O)C%24=C%25C=C%23)C=C%18)N=C9C%26=CC=C(C%27=CC(C(N(C%28=O)C(CCCCC)CCCCC)=O)=C%29C%28=CC=C%30C%29=C%27C%31=C(C%30=CC=C%32C(N(C%33=O)C(CCCCCC)CCCCCC)=O)C%32=C%33C=C%31)C=C%26)C=C8)C(N(C7=O)C(CCCCC)CCCCC)=O)C=C1)N(C(CCCCCC)CCCCCC)C4=O,CCCCCCCCC(Cc1cc(sc1c1cc(c(s1)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)C)CC(CCCCCCC)CCCCCC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1cc(c(s1)C)CC(CCCCCCC)CCCCCC)CC(CCCCCCCC)CCCCCC)CCCCCC,CCCCCC(n1c(=O)c2cc(c3ccc(cc3)c3nc(c4ccc(cc4)c4cc5c(=O)n(C(CCCCC)CCCCC)c(=O)c6c5c5c4c4ccc7c8c4c(c5cc6)ccc8c(=O)n(c7=O)C(CCCCCC)CCCCCC)c(nc3c3ccc(cc3)c3cc4c(=O)n(C(CCCCC)CCCCC)c(=O)c5c4c4c3c3ccc6c7c3c(c4cc5)ccc7c(=O)n(c6=O)C(CCCCCC)CCCCCC)c3ccc(cc3)c3cc4c(=O)n(C(CCCCC)CCCCC)c(=O)c5c4c4c3c3ccc6c7c3c(c4cc5)ccc7c(=O)n(c6=O)C(CCCCCC)CCCCCC)c3c4c2c(c1=O)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)C(CCCCCC)CCCCCC)CCCCC,6.9
PffBT-T3,TPE-PDI4,CC(S1)=CC=C1C(C2=NSN=C23)=C(F)C(F)=C3C4=CC=C(S4)C5=C(CC(CCCCCCC)CCCCCC)C=C(C6=C(CC(CCCCCC)CCCCCCCC)C=C(S6)C7=C(F)C(F)=C(C8=CC(CC(CCCCCCCC)CCCCCC)=C(C9=CC(CC(CCCCCC)CCCCCCC)=C(C)S9)S8)C%10=NSN=C7%10)S5,O=C(C1=C2C(C3=CC=C24)=C(C5=C6C3=CC=C7C6=C(C=C5C8=CC=C(/C(C9=CC=C(C%10=CC(C(N(C%11=O)C(CCCCC)CCCCC)=O)=C%12C%11=CC=C%13C%12=C%10C%14=C(C%13=CC=C%15C(N(C%16=O)C(CCCCCC)CCCCCC)=O)C%15=C%16C=C%14)C=C9)=C(C%17=CC=C(C%18=CC(C(N(C%19=O)C(CCCCC)CCCCC)=O)=C%20C%19=CC=C%21C%20=C%18C%22=C(C%21=CC=C%23C(N(C%24=O)C(CCCCCC)CCCCCC)=O)C%23=C%24C=C%22)C=C%17)\C%25=CC=C(C%26=CC(C(N(C%27=O)C(CCCCC)CCCCC)=O)=C%28C%27=CC=C%29C%28=C%26C%30=C(C%29=CC=C%31C(N(C%32=O)C(CCCCCC)CCCCCC)=O)C%31=C%32C=C%30)C=C%25)C=C8)C(N(C7=O)C(CCCCC)CCCCC)=O)C=C1)N(C(CCCCCC)CCCCCC)C4=O,CCCCCCCCC(Cc1cc(sc1c1cc(c(s1)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)C)CC(CCCCCCC)CCCCCC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1cc(c(s1)C)CC(CCCCCCC)CCCCCC)CC(CCCCCCCC)CCCCCC)CCCCCC,CCCCCC(n1c(=O)c2cc(c3ccc(cc3)C(=C(c3ccc(cc3)c3cc4c(=O)n(C(CCCCC)CCCCC)c(=O)c5c4c4c3c3ccc6c7c3c(c4cc5)ccc7c(=O)n(c6=O)C(CCCCCC)CCCCCC)c3ccc(cc3)c3cc4c(=O)n(C(CCCCC)CCCCC)c(=O)c5c4c4c3c3ccc6c7c3c(c4cc5)ccc7c(=O)n(c6=O)C(CCCCCC)CCCCCC)c3ccc(cc3)c3cc4c(=O)n(C(CCCCC)CCCCC)c(=O)c5c4c4c3c3ccc6c7c3c(c4cc5)ccc7c(=O)n(c6=O)C(CCCCCC)CCCCCC)c3c4c2c(c1=O)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)C(CCCCCC)CCCCCC)CCCCC,5.9
PTH37,ITIC,CC1=CC2=C(C(C3=CC(CC(CC)CCCC)=CS3)=C4C=C(SC4=C2C5=CC(CC(CCCC)CC)=CS5)C6=C(C7=C(S6)C=C(S7)C8=C9C(C(N(C9=O)CC(CCCCCC)CCCCCCCC)=O)=C(S8)C%10=CC%11=C(S%10)C(CCCCCCCC)=C(C)S%11)CCCCCCCC)S1,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(C=CC=C%15)=C%15C/%14=C(C#N)\C#N)=O)=C%13)C%12=C8)=C5S3,CCCCCCCCC(CN1C(=O)c2c(C1=O)c(sc2c1sc2c(c1)sc(c2CCCCCCCC)C)c1sc2c(c1)sc(c2CCCCCCCC)c1sc2c(c1)c(c1scc(c1)CC(CCCC)CC)c1c(c2c2scc(c2)CC(CCCC)CC)cc(s1)C)CCCCCC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=O)c2c(C1=C(C#N)C#N)cccc2,10.9
PMT49,ITIC,CC(S1)=CC2=C1C(C3=CC(C)=C(CC(CC)CCCC)S3)=C(C=C(C4=C(CCCCCCCC)C5=C(C=C(C6=C7C(C(N(CC(CCCCCCCC)CCCCCC)C7=O)=O)=C(C8=CC(SC(C)=C9CCCCCCCC)=C9S8)S6)S5)S4)S%10)C%10=C2C%11=CC(C)=C(SCC(CC)CCCC)S%11,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(C=CC=C%15)=C%15C/%14=C(C#N)\C#N)=O)=C%13)C%12=C8)=C5S3,CCCCCCCCc1c(sc2c1sc(c2)c1sc(c2c1C(=O)N(C2=O)CC(CCCCCCCC)CCCCCC)c1sc2c(c1)sc(c2CCCCCCCC)C)c1sc2c(c1)c(c1cc(c(s1)CC(CCCC)CC)C)c1c(c2c2cc(c(s2)SCC(CCCC)CC)C)cc(s1)C,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=O)c2c(C1=C(C#N)C#N)cccc2,12.1
PET52,ITIC,CC1=CC2=C(C(C3=CC(CC)=C(S3)CC(CCCC)CC)=C4C=C(SC4=C2C5=CC(CC)=C(S5)SCC(CCCC)CC)C6=C(C7=C(S6)C=C(S7)C8=C9C(C(N(C9=O)CC(CCCCCC)CCCCCCCC)=O)=C(S8)C%10=CC%11=C(S%10)C(CCCCCCCC)=C(C)S%11)CCCCCCCC)S1,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(C=CC=C%15)=C%15C/%14=C(C#N)\C#N)=O)=C%13)C%12=C8)=C5S3,CCCCCCCCc1c(sc2c1sc(c2)c1sc(c2c1C(=O)N(C2=O)CC(CCCCCCCC)CCCCCC)c1sc2c(c1)sc(c2CCCCCCCC)C)c1sc2c(c1)c(c1cc(c(s1)CC(CCCC)CC)CC)c1c(c2c2cc(c(s2)SCC(CCCC)CC)CC)cc(s1)C,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=O)c2c(C1=C(C#N)C#N)cccc2,9.94
